Date,OEM_Part_ID,Part_Name,Category,Manufacturer,Demand,Stock_Level,Sensor_Temperature,Sensor_Vibration,Sensor_Pressure,Supplier_Reliability_Score,Defect_Rate,Late_Delivery_Frequency,Lead_Time_Days,Route_Duration,Traffic_Impact,Delivery_Status,Transportation_Cost,Fuel_Consumption
2020-02-27,VW058,Suspension System,Electrical System,Garrett Motion,81,238,109.04,2.39,37.8,0.94,0.03,0,25,164,Low,In Transit,123.95279500000001,9.99952
2020-02-28,VW059,Alternator,Suspension,Bosch,143,356,85.94,2.26,67.22,0.89,0.04,1,7,35,High,On Time,123.95279500000001,9.99952
2020-02-29,VW060,Engine Control Module,Fuel System,Brembo,440,617,101.43,2.06,76.88,0.96,0.02,1,22,117,Low,On Time,123.95279500000001,9.99952
2020-03-01,VW061,Transmission Assembly,Fuel System,Exide,311,515,72.27,0.39,73.87,0.96,0.04,1,14,179,High,On Time,123.95279500000001,9.99952
2020-03-02,VW062,Alternator,Cooling System,Garrett Motion,100,211,99.56,1.31,71.0,0.93,0.1,3,17,45,Medium,Delayed,123.95279500000001,9.99952
2020-03-03,VW063,Airbag Module,Fuel System,Bosch,93,215,90.92,0.13,40.95,0.93,0.02,4,7,122,High,In Transit,123.95279500000001,9.99952
2020-03-04,VW064,Fuel Injector,Fuel System,Brembo,75,310,76.31,0.11,56.35,0.96,0.1,2,28,104,Medium,In Transit,123.95279500000001,9.99952
2020-03-05,VW065,Battery,Cooling System,Behr Hella,425,658,106.11,2.48,73.22,0.86,0.05,3,21,43,High,On Time,123.95279500000001,9.99952
2020-03-06,VW066,Fuel Injector,Safety System,Garrett Motion,499,742,101.64,1.58,68.24,0.94,0.01,0,10,156,High,In Transit,123.95279500000001,9.99952
2020-03-07,VW067,Brake Pads,Safety System,ZF Friedrichshafen,181,444,77.18,1.33,42.38,0.98,0.07,0,24,137,Low,In Transit,123.95279500000001,9.99952
2020-03-08,VW068,Airbag Module,Braking System,Valeo,52,269,85.73,0.2,57.07,0.96,0.02,0,11,115,Low,Delayed,123.95279500000001,9.99952
2020-03-09,VW069,Fuel Injector,Electrical System,Behr Hella,153,287,102.06,1.17,31.69,0.91,0.03,2,8,73,High,Delayed,123.95279500000001,9.99952
2020-03-10,VW070,Battery,Electrical System,Bosch,445,639,93.29,0.29,64.84,0.92,0.05,1,9,125,Low,In Transit,123.95279500000001,9.99952
2020-03-11,VW071,Brake Pads,Transmission,Valeo,478,636,100.58,0.43,64.85,0.93,0.06,4,28,145,Medium,On Time,123.95279500000001,9.99952
2020-03-12,VW072,Turbocharger,Fuel System,Continental AG,428,575,89.45,1.4,73.79,0.9,0.03,4,23,99,Low,Delayed,123.95279500000001,9.99952
2020-03-13,VW073,Airbag Module,Engine,Garrett Motion,171,320,91.91,0.31,71.12,0.9,0.07,4,23,108,Medium,Delayed,123.95279500000001,9.99952
2020-03-14,VW074,Transmission Assembly,Braking System,Exide,168,421,88.7,1.41,53.53,0.95,0.06,1,26,66,High,In Transit,123.95279500000001,9.99952
2020-03-15,VW075,Fuel Injector,Engine,Autoliv,98,233,83.96,2.25,65.06,0.92,0.07,1,27,69,Medium,On Time,123.95279500000001,9.99952
2020-03-16,VW076,Transmission Assembly,Braking System,Exide,435,698,107.23,2.25,54.3,0.97,0.01,2,18,115,Low,In Transit,123.95279500000001,9.99952
2020-03-17,VW077,Alternator,Safety System,Exide,477,759,97.23,1.53,44.46,0.98,0.08,2,10,49,Low,On Time,123.95279500000001,9.99952
2020-03-18,VW078,Battery,Cooling System,Behr Hella,341,555,96.63,0.45,69.03,0.97,0.06,0,22,137,Low,Delayed,123.95279500000001,9.99952
2020-03-19,VW079,Transmission Assembly,Fuel System,Garrett Motion,293,406,74.86,0.97,40.28,0.94,0.02,3,18,56,High,Delayed,123.95279500000001,9.99952
2020-03-20,VW080,Brake Pads,Electrical System,ZF Friedrichshafen,325,474,81.76,2.1,60.18,0.94,0.1,3,22,55,Low,In Transit,123.95279500000001,9.99952
2020-03-21,VW081,Turbocharger,Suspension,Exide,168,415,89.47,1.74,55.85,0.96,0.08,1,23,32,High,In Transit,123.95279500000001,9.99952
2020-03-22,VW082,Transmission Assembly,Engine,Autoliv,172,451,82.63,2.33,40.36,0.94,0.03,1,13,165,Low,Delayed,123.95279500000001,9.99952
2020-03-23,VW083,Radiator,Cooling System,Behr Hella,123,308,106.22,0.66,74.85,0.94,0.07,4,27,37,Low,In Transit,123.95279500000001,9.99952
2020-03-24,VW084,Fuel Injector,Engine,Bosch,355,536,73.4,1.78,47.08,0.92,0.02,0,19,84,High,On Time,123.95279500000001,9.99952
2020-03-25,VW085,Turbocharger,Electrical System,Bosch,225,437,80.21,0.57,67.08,0.95,0.05,3,13,129,Low,Delayed,123.95279500000001,9.99952
2020-03-26,VW086,Suspension System,Electrical System,ZF Friedrichshafen,311,464,79.31,2.17,31.8,0.86,0.03,3,26,106,Medium,In Transit,123.95279500000001,9.99952
2020-03-27,VW087,Airbag Module,Engine,Bosch,337,621,90.09,2.15,77.46,0.86,0.02,3,20,92,High,Delayed,123.95279500000001,9.99952
2020-03-28,VW088,Fuel Injector,Electrical System,Valeo,130,235,86.78,2.27,66.41,0.96,0.06,0,14,123,Medium,Delayed,123.95279500000001,9.99952
2020-03-29,VW089,Alternator,Engine,Autoliv,223,423,106.46,2.05,70.39,0.9,0.02,2,25,119,Medium,Delayed,123.95279500000001,9.99952
2020-03-30,VW090,Battery,Engine,Brembo,489,646,70.8,1.45,30.58,0.95,0.06,0,16,54,High,In Transit,123.95279500000001,9.99952
2020-03-31,VW091,Brake Pads,Electrical System,Brembo,333,457,77.24,0.76,54.98,0.89,0.08,1,26,172,High,On Time,123.95279500000001,9.99952
2020-04-01,VW092,Turbocharger,Braking System,Autoliv,152,273,82.02,1.27,74.14,0.85,0.07,1,14,80,Low,In Transit,123.95279500000001,9.99952
2020-04-02,VW093,Transmission Assembly,Transmission,Bosch,70,177,91.82,0.87,78.95,0.9,0.07,3,26,148,High,On Time,123.95279500000001,9.99952
2020-04-03,VW094,Turbocharger,Braking System,Garrett Motion,467,659,85.15,0.15,73.44,0.9,0.01,0,13,51,High,Delayed,123.95279500000001,9.99952
2020-04-04,VW095,Battery,Electrical System,Autoliv,390,580,94.17,0.24,72.95,0.9,0.06,2,12,148,High,On Time,123.95279500000001,9.99952
2020-04-05,VW096,Radiator,Cooling System,ZF Friedrichshafen,136,274,85.53,1.91,38.86,0.86,0.09,2,16,33,Low,Delayed,123.95279500000001,9.99952
2020-04-06,VW097,Turbocharger,Safety System,Valeo,388,651,80.21,0.74,70.1,0.88,0.06,1,20,53,Low,On Time,123.95279500000001,9.99952
2020-04-07,VW098,Engine Control Module,Electrical System,Garrett Motion,189,364,70.3,0.56,45.58,0.97,0.04,4,8,171,Medium,In Transit,123.95279500000001,9.99952
2020-04-08,VW099,Transmission Assembly,Transmission,Autoliv,57,345,103.37,1.14,63.47,0.97,0.07,2,12,69,Low,In Transit,123.95279500000001,9.99952
2020-04-09,VW100,Transmission Assembly,Safety System,Brembo,352,568,71.76,1.1,39.97,0.94,0.03,3,15,120,High,On Time,123.95279500000001,9.99952
2020-04-10,VW0101,Alternator,Engine,Bosch,272,673,101.57,2.02,95.62,0.9,0.04,4,19,64,Low,On Time,115.43,7.93
2020-04-11,VW0102,Brake Pads,Engine,Garrett Motion,240,272,90.12,2.3,41.37,1.0,0.04,4,11,141,Medium,In Transit,135.75,6.5
2020-04-12,VW0103,Turbocharger,Engine,Bosch,469,151,103.12,0.33,49.68,0.98,0.04,0,24,128,Low,Delayed,91.38,14.0
2020-04-13,VW0104,Battery,Engine,Behr Hella,439,369,87.52,0.69,82.38,0.92,0.08,3,13,138,Medium,On Time,96.57,6.48
2020-04-14,VW0105,Brake Pads,Fuel System,Garrett Motion,53,270,85.05,0.85,66.51,0.94,0.07,4,25,147,Medium,On Time,59.93,5.68
2020-04-15,VW0106,Alternator,Safety System,Garrett Motion,157,623,91.76,2.02,41.11,0.98,0.02,0,24,73,Low,In Transit,133.68,12.83
2020-04-16,VW0107,Turbocharger,Braking System,Bosch,479,266,118.05,1.64,51.84,0.91,0.06,2,25,56,High,On Time,99.1,10.87
2020-04-17,VW0108,Fuel Pump,Fuel System,Bosch,469,774,87.76,2.11,44.89,0.98,0.04,4,22,38,Low,In Transit,130.16,5.89
2020-04-18,VW0109,Battery,Safety System,Garrett Motion,218,349,90.62,1.07,83.45,0.97,0.04,0,19,93,High,In Transit,152.22,10.48
2020-04-19,VW0110,Alternator,Safety System,Garrett Motion,291,508,99.14,0.83,68.35,0.86,0.09,4,18,104,Medium,Delayed,56.9,9.01
2020-04-20,VW0111,Battery,Fuel System,Behr Hella,481,737,98.15,2.11,61.61,0.98,0.03,1,22,123,High,On Time,173.05,5.9
2020-04-21,VW0112,Airbag Module,Braking System,Exide,174,438,84.53,0.97,53.17,0.94,0.06,4,18,176,Low,Delayed,52.22,13.31
2020-04-22,VW0113,Fuel Pump,Safety System,Continental AG,253,569,83.61,2.04,82.22,0.93,0.04,1,14,178,High,On Time,155.08,8.41
2020-04-23,VW0114,Turbocharger,Safety System,Exide,359,617,112.03,1.98,88.14,0.91,0.04,2,28,52,Low,Delayed,173.04,10.07
2020-04-24,VW0115,Airbag Module,Engine,Garrett Motion,212,480,106.76,1.84,99.81,0.95,0.03,3,23,31,Medium,Delayed,182.98,5.08
2020-04-25,VW0116,Battery,Braking System,Exide,388,796,101.41,0.56,77.85,0.97,0.04,4,15,62,Medium,On Time,60.57,9.4
2020-04-26,VW0117,Alternator,Braking System,Continental AG,404,715,104.54,0.82,99.23,0.87,0.02,4,27,36,Low,Delayed,52.05,12.42
2020-04-27,VW0118,Alternator,Safety System,Exide,488,492,103.63,1.31,91.35,0.89,0.02,2,14,74,Medium,In Transit,126.38,13.93
2020-04-28,VW0119,Turbocharger,Braking System,Garrett Motion,426,334,114.84,1.82,49.11,0.89,0.03,4,17,150,Low,In Transit,95.69,6.34
2020-04-29,VW0120,Airbag Module,Safety System,Bosch,126,116,82.77,1.36,96.8,0.88,0.07,3,21,164,Medium,In Transit,165.05,7.45
2020-04-30,VW0121,Alternator,Braking System,Behr Hella,133,668,95.48,2.47,76.07,0.87,0.07,1,24,111,Low,In Transit,179.85,7.17
2020-05-01,VW0122,Airbag Module,Braking System,Exide,323,509,102.43,0.39,46.6,0.99,0.07,3,15,86,Low,On Time,76.33,10.28
2020-05-02,VW0123,Airbag Module,Fuel System,Garrett Motion,312,342,111.11,2.47,78.43,0.93,0.01,4,23,124,Low,In Transit,113.27,6.58
2020-05-03,VW0124,Alternator,Engine,Bosch,132,695,110.56,0.84,40.92,0.86,0.04,4,12,81,High,Delayed,189.56,5.32
2020-05-04,VW0125,Fuel Pump,Safety System,Bosch,383,686,92.92,0.58,66.35,0.99,0.07,0,27,44,Low,In Transit,67.76,11.57
2020-05-05,VW0126,Brake Pads,Electrical,Continental AG,236,737,104.11,0.65,97.21,0.92,0.04,2,13,94,High,Delayed,190.58,6.43
2020-05-06,VW0127,Airbag Module,Electrical,Garrett Motion,456,741,89.89,1.78,48.94,0.94,0.05,3,22,71,High,Delayed,55.16,6.6
2020-05-07,VW0128,Turbocharger,Engine,Continental AG,303,538,91.3,0.68,44.2,0.85,0.1,2,14,118,Low,In Transit,185.19,12.98
2020-05-08,VW0129,Airbag Module,Electrical,Behr Hella,73,350,103.33,0.9,66.15,0.98,0.01,2,19,61,Low,In Transit,185.64,12.12
2020-05-09,VW0130,Brake Pads,Electrical,Behr Hella,246,440,119.31,0.53,99.03,0.95,0.02,4,27,178,Low,Delayed,72.78,8.42
2020-05-10,VW0131,Turbocharger,Fuel System,Continental AG,369,299,104.16,2.14,73.22,0.88,0.07,0,28,85,Low,On Time,144.69,7.57
2020-05-11,VW0132,Brake Pads,Safety System,Exide,272,435,111.15,2.46,57.02,0.97,0.03,0,26,117,High,On Time,142.09,9.62
2020-05-12,VW0133,Fuel Pump,Engine,Behr Hella,308,705,90.04,2.16,80.27,0.96,0.08,1,16,64,Low,In Transit,191.55,13.48
2020-05-13,VW0134,Fuel Pump,Electrical,Behr Hella,255,709,92.04,0.4,60.33,0.89,0.04,1,12,130,Low,On Time,96.57,14.39
2020-05-14,VW0135,Airbag Module,Electrical,Behr Hella,125,468,91.01,2.02,95.58,0.9,0.06,4,20,64,High,On Time,111.6,8.19
2020-05-15,VW0136,Brake Pads,Braking System,Continental AG,263,705,93.02,1.5,92.72,0.92,0.1,0,14,138,High,On Time,129.22,5.71
2020-05-16,VW0137,Airbag Module,Safety System,Continental AG,327,447,92.21,2.26,82.37,0.99,0.01,1,21,71,Low,In Transit,128.47,11.02
2020-05-17,VW0138,Battery,Engine,Exide,216,742,118.32,1.34,69.92,0.96,0.02,0,27,108,Low,In Transit,119.02,13.74
2020-05-18,VW0139,Turbocharger,Braking System,Exide,99,176,80.63,1.91,78.21,0.94,0.02,2,27,175,High,On Time,148.11,12.66
2020-05-19,VW0140,Turbocharger,Safety System,Continental AG,380,148,95.35,1.16,67.58,0.91,0.07,2,10,61,Low,In Transit,169.61,7.57
2020-05-20,VW0141,Alternator,Safety System,Exide,412,639,102.84,1.33,77.15,0.91,0.01,0,24,63,Medium,Delayed,58.38,7.31
2020-05-21,VW0142,Alternator,Fuel System,Exide,367,679,118.61,0.32,65.66,0.88,0.03,2,24,159,Medium,In Transit,184.35,12.26
2020-05-22,VW0143,Battery,Braking System,Bosch,347,375,94.72,1.93,81.89,0.89,0.07,0,20,49,Low,On Time,169.08,7.17
2020-05-23,VW0144,Battery,Safety System,Continental AG,460,630,100.23,1.69,88.94,0.96,0.05,1,27,114,Low,Delayed,161.99,8.96
2020-05-24,VW0145,Fuel Pump,Fuel System,Exide,63,617,88.73,0.35,86.95,0.97,0.02,0,21,164,Low,Delayed,133.92,6.31
2020-05-25,VW0146,Airbag Module,Engine,Garrett Motion,402,558,98.0,2.35,79.07,0.96,0.09,2,18,93,Medium,In Transit,199.26,9.3
2020-05-26,VW0147,Turbocharger,Braking System,Continental AG,386,179,81.21,0.4,72.31,0.99,0.08,1,27,163,Medium,In Transit,124.58,9.17
2020-05-27,VW0148,Alternator,Fuel System,Exide,294,761,116.8,2.03,73.75,0.86,0.03,0,28,178,Medium,In Transit,51.06,9.35
2020-05-28,VW0149,Alternator,Safety System,Continental AG,78,263,103.87,2.34,88.3,1.0,0.1,1,15,51,High,On Time,183.08,9.49
2020-05-29,VW0150,Airbag Module,Engine,Behr Hella,105,471,97.17,0.9,69.73,0.87,0.07,4,20,31,High,Delayed,176.23,11.06
2020-05-30,VW0151,Battery,Engine,Continental AG,443,738,110.89,2.11,98.48,0.87,0.07,2,29,95,Low,In Transit,108.33,10.78
2020-05-31,VW0152,Alternator,Fuel System,Exide,472,330,90.74,2.29,43.91,0.87,0.06,0,16,137,Medium,In Transit,80.97,5.96
2020-06-01,VW0153,Fuel Pump,Engine,Exide,402,386,80.94,2.34,74.35,0.92,0.08,3,27,60,High,Delayed,123.2,13.93
2020-06-02,VW0154,Airbag Module,Electrical,Garrett Motion,104,212,101.19,1.79,90.07,0.96,0.07,2,14,150,Low,In Transit,105.54,11.59
2020-06-03,VW0155,Alternator,Engine,Behr Hella,283,102,96.52,2.01,40.2,0.91,0.08,3,19,63,Medium,In Transit,101.99,11.87
2020-06-04,VW0156,Turbocharger,Engine,Bosch,380,393,86.52,1.46,58.4,0.89,0.07,3,18,122,Low,On Time,62.87,10.04
2020-06-05,VW0157,Brake Pads,Safety System,Continental AG,319,271,102.05,2.14,56.78,0.94,0.09,3,22,54,High,In Transit,90.91,6.11
2020-06-06,VW0158,Brake Pads,Braking System,Garrett Motion,266,746,109.24,2.01,76.93,0.96,0.08,4,21,52,Low,On Time,148.6,13.55
2020-06-07,VW0159,Battery,Electrical,Behr Hella,192,569,101.28,2.0,95.75,0.95,0.04,2,15,151,Medium,In Transit,75.93,8.19
2020-06-08,VW0160,Battery,Braking System,Behr Hella,153,144,107.95,1.98,73.13,0.96,0.06,2,12,151,Medium,In Transit,190.89,7.1
2020-06-09,VW0161,Airbag Module,Electrical,Garrett Motion,292,606,82.69,0.79,87.69,0.89,0.02,2,17,117,Low,Delayed,119.22,5.01
2020-06-10,VW0162,Airbag Module,Braking System,Exide,433,571,116.11,1.87,60.86,0.97,0.04,2,17,69,High,On Time,190.0,13.1
2020-06-11,VW0163,Airbag Module,Electrical,Behr Hella,351,311,84.52,0.8,56.26,0.99,0.01,1,27,140,Medium,Delayed,72.47,12.77
2020-06-12,VW0164,Turbocharger,Engine,Continental AG,382,630,109.43,0.43,82.66,0.86,0.1,3,29,69,Medium,On Time,194.6,9.52
2020-06-13,VW0165,Airbag Module,Fuel System,Bosch,435,574,91.62,1.92,76.64,0.96,0.07,4,13,140,Low,In Transit,124.88,14.12
2020-06-14,VW0166,Fuel Pump,Fuel System,Garrett Motion,93,323,103.77,1.44,74.99,0.91,0.03,3,12,59,High,Delayed,183.26,6.54
2020-06-15,VW0167,Brake Pads,Engine,Exide,378,313,119.91,1.53,99.49,0.97,0.06,0,12,61,High,Delayed,108.61,6.59
2020-06-16,VW0168,Airbag Module,Fuel System,Bosch,56,571,103.95,1.7,71.02,0.87,0.05,4,19,105,High,On Time,199.25,6.35
2020-06-17,VW0169,Fuel Pump,Braking System,Bosch,422,543,87.84,2.02,75.97,0.87,0.05,4,10,56,High,Delayed,119.63,10.4
2020-06-18,VW0170,Brake Pads,Engine,Continental AG,260,704,118.71,0.5,91.43,0.92,0.05,4,24,128,Medium,Delayed,128.23,14.58
2020-06-19,VW0171,Alternator,Engine,Continental AG,239,345,96.95,0.86,88.34,0.93,0.02,0,16,77,Medium,In Transit,187.32,13.19
2020-06-20,VW0172,Fuel Pump,Fuel System,Garrett Motion,455,364,118.65,2.36,60.91,0.92,0.01,1,12,149,High,In Transit,89.77,6.44
2020-06-21,VW0173,Airbag Module,Braking System,Garrett Motion,476,155,84.86,1.75,46.54,0.91,0.09,0,19,63,Low,Delayed,118.95,11.7
2020-06-22,VW0174,Turbocharger,Engine,Behr Hella,202,149,96.02,2.03,67.79,0.9,0.05,3,15,82,Low,In Transit,189.64,12.36
2020-06-23,VW0175,Brake Pads,Fuel System,Continental AG,384,141,107.43,0.39,78.1,0.86,0.08,3,27,178,Low,Delayed,68.12,5.83
2020-06-24,VW0176,Battery,Fuel System,Garrett Motion,200,330,91.75,0.66,75.77,0.95,0.04,1,25,116,Low,Delayed,170.4,5.96
